Cust ID,Date of Application,Cust Segment, Application Credit Score ,Application Amount,Approved_vs_Declined,Decline Reason,Due Date - 1st Payment,`Due Date - 2nd Payment,Due Date - 3rd Payment,Actual Date - 1st Payment ,Actual Date - 2nd Payment,Actual Date - 3rd Payment,Paid Back or Defaulted
17289,20/03/2021,Mid,  609 ,98,Approved,,4/19/2021,5/19/2021,6/18/2021,,,,Defaulted
17290,13/03/2021,Low,  588 ,87,Approved,,4/12/2021,5/12/2021,6/11/2021,5/6/2021,5/12/2021,6/11/2021,Paid Back
17291,06/01/2021,Mid,  617 ,36,Declined,Eligibility,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17292,05/01/2021,High,  613 ,86,Approved,,2/4/2021,3/6/2021,4/5/2021,2/22/2021,3/6/2021,4/5/2021,Paid Back
17293,24/03/2021,High,  666 ,137,Approved,,4/23/2021,5/23/2021,6/22/2021,4/30/2021,5/23/2021,6/22/2021,Paid Back
17294,28/01/2021,Mid,  632 ,86,Approved,,2/27/2021,3/29/2021,4/28/2021,,,,Defaulted
17295,11/03/2021,High,  575 ,84,Declined,Compliance,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17296,14/03/2021,High,  562 ,108,Declined,Credit Risk,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17297,09/03/2021,High,  605 ,100,Approved,,4/8/2021,5/8/2021,6/7/2021,5/10/2021,5/8/2021,6/7/2021,Paid Back
17298,27/03/2021,Low,  581 ,69,Approved,,4/26/2021,5/26/2021,6/25/2021,7/23/2021,5/26/2021,6/25/2021,Paid Back
17299,03/02/2021,Mid,  710 ,116,Approved,,3/5/2021,4/4/2021,5/4/2021,3/11/2021,4/4/2021,5/4/2021,Paid Back
17300,21/03/2021,High,  562 ,67,Declined,Fraud Risk,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17301,08/01/2021,Mid,  593 ,130,Declined,System Issue,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17302,03/03/2021,Low,  654 ,41,Approved,,4/2/2021,5/2/2021,6/1/2021,,,,Defaulted
17303,09/02/2021,Low,  642 ,84,Approved,,3/11/2021,4/10/2021,5/10/2021,3/20/2021,4/10/2021,5/10/2021,Paid Back
17304,19/02/2021,Mid,  632 ,113,Approved,,3/21/2021,4/20/2021,5/20/2021,,,,Defaulted
17305,08/02/2021,Low,  625 ,89,Declined,Eligibility,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17306,25/03/2021,Mid,  668 ,88,Approved,,4/24/2021,5/24/2021,6/23/2021,4/25/2021,5/24/2021,6/23/2021,Paid Back
17307,12/03/2021,Mid,  599 ,82,Declined,Eligibility,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17308,15/02/2021,High,  560 ,87,Declined,Compliance,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17309,18/02/2021,High,  625 ,101,Approved,,3/20/2021,4/19/2021,5/19/2021,4/11/2021,4/19/2021,5/19/2021,Paid Back
17310,12/03/2021,High,  599 ,86,Declined,System Issue,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17311,06/03/2021,Low,  605 ,66,Declined,System Issue,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17312,20/03/2021,Low,  636 ,66,Declined,Fraud Risk,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17313,28/02/2021,High,  630 ,118,Approved,,3/30/2021,4/29/2021,5/29/2021,,,,Defaulted
17314,26/02/2021,Low,  575 ,80,Declined,Fraud Risk,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17315,08/01/2021,Low,  666 ,107,Approved,,2/7/2021,3/9/2021,4/8/2021,,,,Defaulted
17316,24/02/2021,Mid,  589 ,79,Declined,Fraud Risk,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17317,24/02/2021,Mid,  663 ,119,Approved,,3/26/2021,4/25/2021,5/25/2021,4/5/2021,4/25/2021,5/25/2021,Paid Back
17318,21/02/2021,Low,  657 ,159,Approved,,3/23/2021,4/22/2021,5/22/2021,3/30/2021,4/22/2021,5/22/2021,Paid Back
17319,12/03/2021,Mid,  674 ,132,Approved,,4/11/2021,5/11/2021,6/10/2021,4/13/2021,5/11/2021,6/10/2021,Paid Back
17320,11/01/2021,High,  625 ,105,Approved,,2/10/2021,3/12/2021,4/11/2021,2/25/2021,3/12/2021,4/11/2021,Paid Back
17321,11/02/2021,Low,  715 ,177,Approved,,3/13/2021,4/12/2021,5/12/2021,,,,Defaulted
17322,11/02/2021,Mid,  524 ,114,Declined,Credit Risk,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17323,25/03/2021,Low,  565 ,90,Declined,Credit Risk,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17324,12/02/2021,Mid,  626 ,138,Approved,,3/14/2021,4/13/2021,5/13/2021,,,,Defaulted
17325,24/03/2021,Low,  588 ,130,Approved,,4/23/2021,5/23/2021,6/22/2021,6/19/2021,5/23/2021,6/22/2021,Paid Back
17326,03/01/2021,High,  591 ,71,Declined,Credit Risk,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17327,19/02/2021,Mid,  642 ,84,Approved,,3/21/2021,4/20/2021,5/20/2021,3/29/2021,4/20/2021,5/20/2021,Paid Back
17328,22/03/2021,Low,  632 ,95,Declined,System Issue,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17329,02/04/2021,Mid,  574 ,111,Declined,Fraud Risk,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17330,12/02/2021,High,  661 ,67,Approved,,3/14/2021,4/13/2021,5/13/2021,,,,Defaulted
17331,20/02/2021,Low,  527 ,112,Declined,Compliance,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17332,03/03/2021,Low,  611 ,128,Declined,Eligibility,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17333,27/03/2021,Mid,  614 ,121,Declined,Eligibility,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17334,11/03/2021,Mid,  596 ,92,Declined,Eligibility,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17335,05/01/2021,Low,  619 ,131,Declined,Eligibility,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17336,23/02/2021,Mid,  631 ,109,Approved,,3/25/2021,4/24/2021,5/24/2021,,,,Defaulted
17337,14/02/2021,Mid,  629 ,89,Approved,,3/16/2021,4/15/2021,5/15/2021,,,,Defaulted
17338,18/03/2021,Mid,  614 ,86,Approved,,4/17/2021,5/17/2021,6/16/2021,,,,Defaulted
17339,15/02/2021,Low,  575 ,122,Declined,System Issue,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17340,19/02/2021,High,  581 ,80,Declined,System Issue,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17341,04/02/2021,High,  620 ,114,Approved,,3/6/2021,4/5/2021,5/5/2021,,,,Defaulted
17342,04/03/2021,Low,  627 ,135,Declined,System Issue,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17343,19/01/2021,Low,  588 ,124,Declined,System Issue,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17344,25/02/2021,Low,  596 ,114,Declined,Compliance,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17345,06/03/2021,Low,  625 ,113,Approved,,4/5/2021,5/5/2021,6/4/2021,4/6/2021,5/5/2021,6/4/2021,Paid Back
17346,26/02/2021,Low,  584 ,94,Declined,Eligibility,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17347,02/02/2021,Low,  612 ,91,Declined,Compliance,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17348,31/01/2021,Mid,  621 ,114,Approved,,3/2/2021,4/1/2021,5/1/2021,3/17/2021,4/1/2021,5/1/2021,Paid Back
17349,04/02/2021,Mid,  632 ,195,Approved,,3/6/2021,4/5/2021,5/5/2021,,,,Defaulted
17350,23/02/2021,Low,  545 ,123,Declined,Fraud Risk,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17351,19/02/2021,High,  645 ,115,Approved,,3/21/2021,4/20/2021,5/20/2021,3/23/2021,4/20/2021,5/20/2021,Paid Back
17352,07/02/2021,Low,  607 ,101,Declined,Fraud Risk,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17353,19/03/2021,Low,  620 ,84,Declined,Credit Risk,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17354,24/02/2021,Low,  634 ,126,Declined,Compliance,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
