Cust ID,Trans ID,Timestamp,Merchant Segment,Device,Funding Instrument,Price,ZipCode,Account_age_months,Sum_12_mnth_credit_txn,Sum_12_mnth_debit_txn,Pcnt_debit_cards_in_wallet,Num_premium_cards,Eng_segment
17289,02EF1417,2021-05-01 10:37:13,Travel, Web ,Debit_Card,2834,38622,21,1896,21641,54,1,Low
17290,DE452ABA,2021-06-08 13:09:36,Fashion, Web ,PayPal_Pay_Later,90,43894,11,1519,15359,94,2,Medium
17291,3DD8D166,2021-03-02 05:43:50,Travel, Mobile ,PayPal_Credit_Card,4141,89185,60,22886,1767,21,6,Medium
17292,02708767,2021-03-18 09:06:38,Electronics, Web ,PayPal_Credit_Card,1047,71606,55,23087,1613,22,5,Medium
17293,A00706B5,2021-03-31 18:35:20,Fashion, Mobile ,PayPal_Pay_Later,63,89818,19,1649,20973,85,2,Low
17294,7660C4CB,2021-04-20 14:24:58,Fashion, Mobile ,PayPal_Pay_Later,155,53083,19,557,28037,98,2,About_to_churn
17295,4891DAB9,2021-05-03 01:14:48,Electronics, POS ,PayPal_Cobrand_Card,1154,56829,29,19728,2815,18,5,Low
17296,D2095259,2021-03-22 07:11:28,Website-services, Web ,Debit_Card,655,41987,23,1408,12606,75,2,About_to_churn
17297,F01E4BC1,2021-03-02 07:41:50,Website-services, Web ,Netbanking,506,69231,6,5481,16454,53,2,Medium
17298,639ACB73,2021-05-14 19:16:00,Travel, Web ,Debit_Card,2093,38898,23,1806,14465,72,3,Medium
17299,394C8552,2021-03-10 05:13:59,Travel, Web ,Wallet,956,11613,12,6731,10544,61,1,About_to_churn
17300,FDDBFD06,2021-04-22 08:35:39,Travel, Web ,Debit_Card,2999,36477,6,1022,23158,84,1,Medium
17301,2107C7AF,2021-05-07 19:55:50,Travel, Web ,PayPal_Credit_Card,3450,85901,58,38483,3732,21,6,High
17302,9D2579CC,2021-05-21 19:53:48,Pantry, Mobile ,PayPal_Pay_Later,119,44383,17,988,15364,87,2,Medium
17303,C90842D4,2021-04-18 07:43:59,Fashion, Web ,PayPal_Pay_Later,68,61615,10,1388,29707,85,1,Low
17304,EBB53CDE,2021-04-05 01:17:04,Website-services, Mobile ,Netbanking,583,11449,6,3249,12692,56,3,Medium
17305,98AC34C1,2021-03-09 12:11:56,Travel, Web ,Netbanking,989,35628,5,2825,15668,52,3,Medium
17306,2CE8FB0E,2021-05-23 09:49:43,Electronics, Web ,Netbanking,355,18051,8,3858,14542,65,2,Low
17307,4216134D,2021-04-09 23:33:40,Travel, Web ,Debit_Card,1409,11613,19,1555,18321,79,2,About_to_churn
17308,C45594C0,2021-05-10 21:32:56,Website-services, Web ,Wallet,954,22106,16,6096,9193,51,1,Medium
17309,C38B23E3,2021-06-06 19:22:42,Travel, Web ,PayPal_Credit_Card,2526,52414,58,28220,1206,15,3,Medium
17310,E02AC51B,2021-04-21 18:37:31,Travel, Mobile ,PayPal_Credit_Card,4246,12430,51,11656,3987,20,5,Medium
17311,0648F505,2021-05-18 02:20:58,Electronics, Web ,Wallet,373,57285,6,3656,9175,57,1,Medium
17312,B05987C0,2021-05-12 12:26:43,Fashion, Mobile ,PayPal_Pay_Later,92,17709,10,676,22273,96,1,Low
17313,397FE466,2021-03-08 17:11:00,Electronics, Web ,Netbanking,490,25242,1,4083,13248,62,2,Medium
17314,C9DC7AFB,2021-03-13 05:23:08,Travel, Mobile ,PayPal_Credit_Card,4843,35917,32,34567,2782,17,4,Medium
17315,3E8776A4,2021-03-24 05:10:28,Travel, Mobile ,Debit_Card,1045,65570,13,1856,22950,66,2,Low
17316,DB745EA9,2021-03-30 05:10:03,Fashion, Mobile ,PayPal_Pay_Later,72,26129,9,423,29546,77,1,About_to_churn
17317,6F3FB1F9,2021-05-28 17:01:20,Pantry, Web ,Wallet,280,32150,18,1896,9163,54,0,Medium
17318,0499DDCB,2021-04-26 02:17:03,Fashion, Web ,PayPal_Pay_Later,105,67382,13,1363,16615,76,2,Medium
17319,B2DBAF4D,2021-06-06 20:15:30,Fashion, Mobile ,PayPal_Pay_Later,83,38556,3,1092,15803,97,2,Medium
17320,F77C0DBC,2021-05-08 12:55:26,Travel, Web ,Debit_Card,2229,46192,12,1088,21116,83,2,High
17321,ABC019FA,2021-04-15 09:48:17,Fashion, Mobile ,PayPal_Pay_Later,100,25312,5,1036,18587,84,2,About_to_churn
17322,F2E41872,2021-05-02 15:10:38,Travel, Web ,PayPal_Cobrand_Card,2620,27015,38,26202,2087,10,7,High
17323,42420FCF,2021-03-27 15:58:00,Fashion, Mobile ,PayPal_Pay_Later,241,36408,14,1746,23392,94,2,About_to_churn
17324,C524B8ED,2021-04-21 15:16:50,Website-services, Web ,Debit_Card,954,34440,21,1284,16201,61,1,Medium
17325,5A3A0CB5,2021-05-05 19:14:33,Travel, POS ,PayPal_Cobrand_Card,3913,25242,27,30017,3291,24,4,Medium
17326,4D9784DC,2021-05-07 16:27:22,Pantry, Web ,Wallet,343,73302,15,4553,10666,56,0,Medium
